county_fips,county_name,cases,population,cases_per_100k,cases_per_100k_double
0500000US35001,Bernalillo County,"2966.0","679121.0","436.7410225865493",436.74102
0500000US35003,Catron County,"3.0","3527.0","85.05812305075135",85.05812
0500000US35005,Chaves County,"160.0","64615.0","247.62052155072354",247.62052
0500000US35006,Cibola County,"247.0","26675.0","925.9606373008435",925.96064
0500000US35007,Colfax County,"9.0","11941.0","75.37057197889624",75.37057
0500000US35009,Curry County,"247.0","48954.0","504.5552968092495",504.55530
0500000US35011,De Baca County,"0.0","1748.0","0",0.00000
0500000US35013,Dona Ana County,"1378.0","218195.0","631.5451774788606",631.54518
0500000US35015,Eddy County,"138.0","58460.0","236.05884365378034",236.05884
0500000US35017,Grant County,"32.0","26998.0","118.52729831839395",118.52730
0500000US35019,Guadalupe County,"20.0","4300.0","465.1162790697674",465.11628
0500000US35021,Harding County,"1.0","625.0","160",160.00000
0500000US35023,Hidalgo County,"72.0","4198.0","1715.102429728442",1715.10243
0500000US35025,Lea County,"269.0","71070.0","378.50007035317293",378.50007
0500000US35027,Lincoln County,"22.0","19572.0","112.40547721234415",112.40548
0500000US35028,Los Alamos County,"11.0","19369.0","56.79178068046879",56.79178
0500000US35029,Luna County,"122.0","23709.0","514.5725252014003",514.57253
0500000US35031,McKinley County,"3614.0","71367.0","5063.965137948912",5063.96514
0500000US35033,Mora County,"2.0","4521.0","44.238000442380006",44.23800
0500000US35035,Otero County,"73.0","67490.0","108.16417246999556",108.16417
0500000US35037,Quay County,"14.0","8253.0","169.63528413910092",169.63528
0500000US35039,Rio Arriba County,"137.0","38921.0","351.99506693044884",351.99507
0500000US35041,Roosevelt County,"78.0","18500.0","421.6216216216216",421.62162
0500000US35043,Sandoval County,"821.0","146748.0","559.4624798975113",559.46248
0500000US35045,San Juan County,"2687.0","123958.0","2167.6696945739686",2167.66969
0500000US35047,San Miguel County,"25.0","27277.0","91.65230780511054",91.65231
0500000US35049,Santa Fe County,"328.0","150358.0","218.1460248207611",218.14602
0500000US35051,Sierra County,"14.0","10791.0","129.7377444166435",129.73774
0500000US35053,Socorro County,"63.0","16637.0","378.6740397908277",378.67404
0500000US35055,Taos County,"52.0","32723.0","158.90963542462487",158.90964
0500000US35057,Torrance County,"47.0","15461.0","303.99068624280443",303.99069
0500000US35059,Union County,"8.0","4059.0","197.0928800197093",197.09288
0500000US35061,Valencia County,"178.0","76688.0","232.10932610056332",232.10933
0500000US36001,Albany County,"2208.0","305506.0","722.7353963588276",722.73540
0500000US36003,Allegany County,"66.0","46091.0","143.1949838363238",143.19498
0500000US36005,Bronx County,"48267.0","1418207.0","3403.381875847461",3403.38188
0500000US36007,Broome County,"807.0","190488.0","423.64873377850574",423.64873
0500000US36009,Cattaraugus County,"138.0","76117.0","181.29984103419736",181.29984
0500000US36011,Cayuga County,"126.0","76576.0","164.54241537818638",164.54242
0500000US36013,Chautauqua County,"170.0","126903.0","133.96058406814655",133.96058
0500000US36015,Chemung County,"148.0","83456.0","177.3389570552147",177.33896
0500000US36017,Chenango County,"166.0","47207.0","351.64276484419685",351.64276
0500000US36019,Clinton County,"108.0","80485.0","134.18649437783438",134.18649
0500000US36021,Columbia County,"485.0","59461.0","815.6606851549755",815.66069
0500000US36023,Cortland County,"58.0","47581.0","121.89739601941952",121.89740
0500000US36025,Delaware County,"91.0","44135.0","206.18556701030928",206.18557
0500000US36027,Dutchess County,"4269.0","294218.0","1450.9649307656227",1450.96493
0500000US36029,Erie County,"7711.0","918702.0","839.3363680497049",839.33637
0500000US36031,Essex County,"51.0","36885.0","138.26758845058967",138.26759
0500000US36033,Franklin County,"35.0","50022.0","69.96921354603975",69.96921
0500000US36035,Fulton County,"265.0","53383.0","496.412715658543",496.41272
0500000US36037,Genesee County,"247.0","57280.0","431.2150837988827",431.21508
0500000US36039,Greene County,"265.0","47188.0","561.5834534203611",561.58345
0500000US36041,Hamilton County,"6.0","4416.0","135.8695652173913",135.86957
0500000US36043,Herkimer County,"188.0","61319.0","306.5933886723528",306.59339
0500000US36045,Jefferson County,"95.0","109834.0","86.4941639200976",86.49416
0500000US36047,Kings County,"60647.0","2559903.0","2369.1132046800208",2369.11320
0500000US36049,Lewis County,"31.0","26296.0","117.88865226650441",117.88865
0500000US36051,Livingston County,"145.0","62914.0","230.4733445655975",230.47334
0500000US36053,Madison County,"374.0","70941.0","527.1986580397795",527.19866
0500000US36055,Monroe County,"4153.0","741770.0","559.8770508378608",559.87705
0500000US36057,Montgomery County,"130.0","49221.0","264.1149103025132",264.11491
0500000US36059,Nassau County,"42267.0","1356924.0","3114.9128469980633",3114.91285
0500000US36061,New York County,"29165.0","1628706.0","1790.6853661741284",1790.68537
0500000US36063,Niagara County,"1334.0","209281.0","637.4205016222209",637.42050
0500000US36065,Oneida County,"1818.0","228671.0","795.0286656375316",795.02867
0500000US36067,Onondaga County,"3100.0","460528.0","673.1403953722684",673.14040
0500000US36069,Ontario County,"296.0","109777.0","269.6375379177788",269.63754
0500000US36071,Orange County,"10830.0","384940.0","2813.425468904245",2813.42547
0500000US36073,Orleans County,"287.0","40352.0","711.2410785091197",711.24108
0500000US36075,Oswego County,"219.0","117124.0","186.98131894402513",186.98132
0500000US36077,Otsego County,"88.0","59493.0","147.91656161229054",147.91656
0500000US36079,Putnam County,"1361.0","98320.0","1384.2554922701383",1384.25549
0500000US36081,Queens County,"66323.0","2253858.0","2942.643236619166",2942.64324
0500000US36083,Rensselaer County,"593.0","158714.0","373.628035333997",373.62804
0500000US36085,Richmond County,"14308.0","476143.0","3004.979596465768",3004.97960
0500000US36087,Rockland County,"13700.0","325789.0","4205.175742581855",4205.17574
0500000US36089,St. Lawrence County,"230.0","107740.0","213.47688880638572",213.47689
0500000US36091,Saratoga County,"595.0","229863.0","258.8498366418258",258.84984
0500000US36093,Schenectady County,"856.0","155299.0","551.1947919819188",551.19479
0500000US36095,Schoharie County,"62.0","30999.0","200.00645182102647",200.00645
0500000US36097,Schuyler County,"15.0","17807.0","84.23653619363172",84.23654
0500000US36099,Seneca County,"74.0","34016.0","217.54468485418627",217.54468
0500000US36101,Steuben County,"274.0","95379.0","287.27497667201374",287.27498
0500000US36103,Suffolk County,"41987.0","1476601.0","2843.4898797982664",2843.48988
0500000US36105,Sullivan County,"1464.0","75432.0","1940.8208717785556",1940.82087
0500000US36107,Tioga County,"160.0","48203.0","331.9295479534469",331.92955
0500000US36109,Tompkins County,"183.0","102180.0","179.0957134468585",179.09571
0500000US36111,Ulster County,"1855.0","177573.0","1044.6407956164508",1044.64080
0500000US36113,Warren County,"274.0","63944.0","428.4999374452646",428.49994
0500000US36115,Washington County,"249.0","61204.0","406.8361544997059",406.83615
0500000US36117,Wayne County,"203.0","89918.0","225.7612491381036",225.76125
0500000US36119,Westchester County,"35260.0","967506.0","3644.421843378749",3644.42184
0500000US36121,Wyoming County,"101.0","39859.0","253.39321106901826",253.39321
0500000US36123,Yates County,"48.0","24913.0","192.67049331674227",192.67049
0500000US37001,Alamance County,"1401.0","169509.0","826.5047873564235",826.50479
0500000US37003,Alexander County,"156.0","37497.0","416.03328266261303",416.03328
0500000US37005,Alleghany County,"41.0","11137.0","368.1422286073449",368.14223
0500000US37007,Anson County,"189.0","24446.0","773.132618833347",773.13262
0500000US37009,Ashe County,"62.0","27203.0","227.91603867220525",227.91604
0500000US37011,Avery County,"26.0","17557.0","148.08908127812268",148.08908
0500000US37013,Beaufort County,"139.0","46994.0","295.7824403115291",295.78244
0500000US37015,Bertie County,"155.0","18947.0","818.0714625006598",818.07146
0500000US37017,Bladen County,"430.0","32722.0","1314.100605097488",1314.10061
0500000US37019,Brunswick County,"753.0","142820.0","527.2370816412267",527.23708
0500000US37021,Buncombe County,"845.0","261191.0","323.51803852353254",323.51804
0500000US37023,Burke County,"1186.0","90485.0","1310.7144830634913",1310.71448
0500000US37025,Cabarrus County,"1580.0","216453.0","729.9506128351189",729.95061
0500000US37027,Caldwell County,"601.0","82178.0","731.339287887269",731.33929
0500000US37029,Camden County,"35.0","10867.0","322.07600993834546",322.07601
0500000US37031,Carteret County,"121.0","69473.0","174.1683819613375",174.16838
0500000US37033,Caswell County,"149.0","22604.0","659.1753671916475",659.17537
0500000US37035,Catawba County,"1142.0","159551.0","715.7585975644151",715.75860
0500000US37037,Chatham County,"1041.0","74470.0","1397.8783402712502",1397.87834
0500000US37039,Cherokee County,"61.0","28612.0","213.19725989095485",213.19726
0500000US37041,Chowan County,"35.0","13943.0","251.02201821702647",251.02202
0500000US37043,Clay County,"11.0","11231.0","97.94319294809011",97.94319
0500000US37045,Cleveland County,"498.0","97947.0","508.43823700572756",508.43824
0500000US37047,Columbus County,"607.0","55508.0","1093.5360668732435",1093.53607
0500000US37049,Craven County,"443.0","102139.0","433.7226720449583",433.72267
0500000US37051,Cumberland County,"1558.0","335509.0","464.36906312498326",464.36906
0500000US37053,Currituck County,"26.0","27763.0","93.64982170514715",93.64982
0500000US37055,Dare County,"102.0","37009.0","275.6086357372531",275.60864
0500000US37057,Davidson County,"1228.0","167609.0","732.6575541886176",732.65755
0500000US37059,Davie County,"247.0","42846.0","576.4832189702655",576.48322
0500000US37061,Duplin County,"1672.0","58741.0","2846.3934900665636",2846.39349
